COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
593;25 April 2025;Ucapan Hari Ulang Tahun kepada Direktur SDM dan Hukum PT ASABRI (Persero) Sri Ainin Muktirizka.;Hari Penting;;;Realisasi;X;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur SDM dan Hukum PT ASABRI (Persero) Sri Ainin Muktirizka.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1915543253287682432?s=20;;Approve Sesper;
594;23 April 2025;Hari Raya Galungan & Kuningan;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI 

Galungan dan Kuningan adalah pengingat akan harmoni antara dunia spiritual dan dunia nyata. 

Selamat Hari Raya Galungan & Kuningan. Semoga Tuhan Yang Maha Kuasa senantiasa memberikan kesejahteraan dan keselamatan alam semesta ini.

#GalunganKuningan
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1914872014998757886?s=20;;Approve Sesper;
595;22 April 2025;Hari Bumi;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Menjaga bumi bukan pilihan, tapi tanggung jawab kita bersama.

Kini saatnya kita menjaga dan merawatnya. Reduce, reuse, recycle.

ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa.

#HariBumi
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1914552527330402719?s=20;;Approve Sesper;
596;21 April 2025;Memperingati Hari Kartini;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

“Habis Gelap, Terbitlah Terang”

Di balik setiap kemajuan, ada keberanian untuk melangkah dari gelap menuju terang. Mari terus bergerak maju dengan semangat yang sama.

Selamat Hari Kartini
21 April 2025

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#HariKartini
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1914137230886814140?s=20;;Approve Sesper;
597;21 April 2025;Selamat dan Semangat Hari Senin!;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Kartini ASABRI bagaikan cahaya semangat yang tak pernah padam.
Mengabdi dengan Hati, Berkarya untuk Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1914132341771157981?s=20;;Approve Sesper;
598;20 April 2025;Memperingati Hari Raya Paskah;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Paskah membawa pesan tentang harapan dan awal yang baru. Terang-Nya telah datang, damai-Nya tak pernah padam dan akan ada selalu harapan baru yang menanti.

Selamat Hari Paskah, semoga semangat baru membawa kita untuk terus melangkah dengan penuh optimisme.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#HariPaskah
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1913812272964927841?s=20;;Approve Sesper;
599;18 April 2025;Memperingati Jumat Agung;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Jumat Agung mengingatkan kita tentang pentingnya pengorbanan dan pelayanan. Semoga semangat ini menginspirasi kita dalam bekerja dan melayani dengan sepenuh hati.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#JumatAgung
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1913150653532344535?s=20;;Approve Sesper;
600;17 April 2025;Pemberitahuan Libur Kantor Cabang ASABRI dalam rangka Jumat Agung dan Hari Raya Paskah Tahun 2025;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Sehubungan dengan Hari Libur Nasional dalam rangka Peringatan Jumat Agung dan Hari Raya Paskah Tahun 2025, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 18 April 2025.

Layanan dan Operasional akan Buka Kembali pada tanggal 21 April 2025.

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1912852859097649199?s=20;;Approve Sesper;
601;14 April 2025;Selamat dan Semangat Hari Senin!;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Kami adalah Insan ASABRI. 
Kami berkarya dengan integritas, melayani dengan sepenuh hati, melangkah maju bersama Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1911627139226497266?s=20;;Approve Sesper;
602;10 April 2025;Halalbihalal bersama ASABRI;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Halalbihalal merupakan momentum untuk menyatukan hati dan memperkuat silaturahim demi terciptanya kolaborasi dan berkontribusi bagi negeri.

Satukan tekad dan langkah dalam harmoni bersama ASABRI sebagai Sahabat Perjuangan Anda Sepanjang Masa.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1910236743028359215?s=20;;Approve Sesper;
603;09 April 2025;DIRGAHAYU TNI ANGKATAN UDARA KE-79;Hari Besar Nasional;;;Realisasi;X;Infografis;"Dengan Semangat Swa Bhuana Paksa, TNI Angkatan Udara Siap Menjaga Kedaulatan Nasional Untuk Mewujudkan Indonesia Maju
DIRGAHAYU TNI ANGKATAN UDARA KE-79

ASABRI Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1909770522914963814?s=20;;Approve Sesper;
604;09 April 2025;Halalbihalal ASABRI;Campaign ASABRI;;;Realisasi;X;Video;"Halo #SobatASABRI

Pagi cerah burung pun bernyanyi,
Mentari hangat sinari pagi.
Halalbihalal satukan hati,
Rajut silaturahim penuh arti.

Menanam padi di pagi hari,
Berharap nanti panen berseri.
Semangat berkarya kembali #SobatASABRI,
Demi kemajuan ibu pertiwi.

#HalalbihalalASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1909770504741044567?s=20;;Approve Sesper;
605;08 April 2025;Pemberitahuan Kantor Cabang ASABRI Beropasi Kembali dalam rangka Jumat Agung dan Hari Raya Paskah Tahun 2025;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Berikut informasi mengenai waktu layanan Kantor Cabang PT ASABRI (Persero), yang telah beroperasi kembali setelah Libur & Cuti Bersama Hari Raya Idulfitri 1446 H.

Kami terus melayani dengan sepenuh hati, untuk seluruh #SobatASABR

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#LayananCabangASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesiaI.";https://x.com/asabri_official/status/1909536361700573653?s=20;;Approve Sesper;
606;31 Maret 2025;Hari Raya Idul Fitri 1446H;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI

Suara bedug nyaring menggema, berpadu dengan lantunan takbir yang memenuhi langit, menggetarkan hati dalam syukur dan haru. 

Di hari yang fitri ini, kita tinggalkan segala khilaf, membuka lembaran baru dengan hati yang tulus dan penuh cahaya.

Senyum dan kebahagiaan menyatu dalam kebersamaan, mengingatkan bahwa makna Lebaran bukan hanya tentang perayaan, tetapi juga tentang saling memaafkan, menguatkan, dan merajut kembali tali persaudaraan dengan kasih yang tak terhingga.

#SahabatPerjuanganAndaSepanjangMasa
#Lebaran1446H
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1906531698554351982?s=20;;Approve Sesper;
607;30 Maret 2025;Speech dari Dewan Direksi tentang Hari Raya;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI

Idul Fitri bukan hanya tentang kemenangan, tetapi juga tentang kebersamaan dan 
saling memaafkan.

Mari rayakan momen hangat Hari Raya Idulfitri bersama keluarga dan orang terkasih.

Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah
Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.

#Lebaran1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1906309738738176439?s=20;;Approve Sesper;
608;30 Maret 2025;Memperingati Hari Raya Idulfitri 1 Syawal 1446;Hari Besar Nasional;;;Realisasi;X;Video;"Halo #SobatASABRI

Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan

Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.

Tak ada yang lebih indah dari saling memaafkan. 
Semoga Hari Raya Idulfitri ini membawa kedamaian dan kebahagiaan untuk kita 
semua.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#Lebaran1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1906309344981061999?s=20;;Approve Sesper;
609;29 Maret 2025;Memperingati Hari Raya Nyepi dan Tahun Baru Saka 1947.;Hari Besar Nasional;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Dalam keheningan, kita menemukan kedamaian. 
Dalam kesunyian, kita merenung dan memperbarui diri.

Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan
Selamat Hari Raya Nyepi dan Tahun Baru Saka 1947.

Semoga momen suci ini 
membawa ketenangan, kebijaksanaan, dan harmoni bagi kita semua. 

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#HariNyepi
#TahunBaruSaka1947
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905820816350364156?s=20;;Approve Sesper;
610;28 Maret 2025;Informasi Untuk Sobat ASABRI;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI 

Untuk mendukung kelancaran pembayaran hak peserta ASABRI, terdapat layanan Mitra Kerja Pembayaran  ASABRI (Bank dan Pos) yang tetap melayani pada masa libur nasional dan cuti Bersama Hari Raya Nyepi dan Idul Fitri 1446 Hijriah.

Untuk mengetahui informasi selengkapnya terkait dengan layanan Mitra Kerja Pembayaran ASABRI, Sobat dapat mengunjungi Website ASABRI melalui link atau scan barcode yang tertera pada infografis diatas ya #Sobat

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905596679690354991?s=20;;Approve Sesper;
611;28 Maret 2025;Pemberitahuan Tutup Kantor Cabang ASABRI Beropasi Kembali dalam rangka Hari Libur Nasional dan Cuti Bersama Hari Raya Nyepi dan Tahun Baru Saka 1947 serta Idul Fitri 1446 H Jumat Agung dan Hari Raya Paskah Tahun 2025;Konten Lainnya;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Sehubungan dengan Hari Libur Nasional dan Cuti Bersama Hari Raya Nyepi dan Tahun Baru Saka 1947 serta Idul Fitri 1446 H, Layanan dan Operasional Kantor ASABRI TUTUP pada tanggal 28 Maret 2025 s.d. 7 April 2025.
Layanan dan Operasional Buka Kembali pada tanggal 8 April 2025.

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905596382930763995?s=20;;Approve Sesper;
612;28 Maret 2025;MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ;TJSL;;;Realisasi;X;Video;"??? MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ???

Halo #SobatASABRI dan #InsanBUMN!

PT ASABRI (Persero) kembali berpartisipasi dalam Program Mudik Gratis Bersama BUMN dengan mengusung tema ""Mudik Aman Sampai Tujuan"".
https://instagram.com/asabri_official/reel/DHtdt3Uyu7b/

Sebagai bagian dari BUMN, ASABRI berkomitmen untuk mendukung tradisi mudik dengan memberikan perjalanan yang aman dan nyaman bagi masyarakat serta Peserta ASABRI.

Selamat mudik Sobat!
Semoga perjalanan lancar dan penuh kebahagiaan hingga tiba di kampung halaman ????

#MudikAmanSampaiTujuan 
#TJSLASABRI";https://x.com/asabri_official/status/1905595129785704486?s=20;;Approve Sesper;
613;27 Maret 2025;Informasi Call Center;Konten Lainnya;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Ada yang masih bingung kemana harus menghubungi ASABRI untuk mengurus keperluan ASABRI ?

#Sobat dapat menghubungi Akun Resmi Contact Center ASABRI seperti tertera pada infografis berikut ya #Sobat

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905251847478358116?s=20;;Approve Sesper;
614;27 Maret 2025;"Mudik Aman Sampai Tujuan
Lebaran Tenang dan Menyenangkan";Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Jalan-Jalan Naik Delman
Sambil Liat Indahnya Pemandangan
Selamat  Mudik ke Kampung Halaman
Lebaran Bersama  Keluarga Tenang & Menyenangkan

Mudik Aman Sampai Tujuan
Lebaran Tenang dan Menyenangkan

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905229683408670760?s=20;;Approve Sesper;
615;27 Maret 2025;ASABRI Tolak Gratifikasi;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

ASABRI senantiasa berkomitmen untuk menolak segala bentuk Gratifikasi.
Terima kasih untuk tidak memberi dan menerima Gratifikasi.
Jika menjumpai tindak gratifikasi jangan ragu untuk melaporkan melalui pengaduan@asabri.co.id

Bersama kita ciptakan lingkungan kerja yang bersih, transparan, dan beretika.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#AntiGratifikasi
#ASABRITolakGratifikasi
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1905148116489355490?s=20;;Approve Sesper;
616;26 Maret 2025;Segera Melakukan Pemadanan NIK-NPWP melalui aplikasi CORETAX;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Pemerintah telah menerbitkan PMK 136/2023 tentang perubahan atas PMK 112/2023 terkait implementasi pemadanan NIK-NPWP. Bagi yang belum melakukan pemadanan NIK sebagai NPWP, #SobatASABRI dapat melakukan pemadanan melalui Aplikasi Coretax.

Simak ketentuan terbaru Pemadanan NIK-NPWP sesuai infografis berikut ya #Sobat
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1904901011728458027?s=20;;Approve Sesper;
617;24 Maret 2025;Ucapan Hari Ulang Tahun kepada Komisaris Independen PT ASABRI (Persero) Komjen Pol. (Purn) Arief Sulistyanto.;Hari Penting;;;Realisasi;X;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Komisaris Independen PT ASABRI (Persero) Komjen Pol. (Purn) Arief Sulistyanto.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1904049038351360384?s=20;;Approve Sesper;
618;24 Maret 2025;THR Lancar, Ramadan & Lebaran Tenang & Menyenangkan!;Campaign ASABRI;;;Realisasi;X;Video;"Halo #SobatASABRI

? THR Lancar, Ramadan & Lebaran Tenang & Menyenangkan! ?
?? Mulai 17 Maret 2025, ASABRI menyalurkan pembayaran THR kepada Peserta Pensiun, Penerima Pensiun, dan Penerima Tunjangan.

Selengkapnya, Cek video berikut ya https://instagram.com/reel/DHfeKxCSkcp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==


#RamadanTenangMenyenangkan
#LebaranTenangMenyenangkan
#ManfaatProgramASABRI
#THRPesertaASABRI";https://x.com/asabri_official/status/1904006207368769866?s=20;;Approve Sesper;
619;24 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin.
Berbagi bukan tentang seberapa banyak yang kita berikan, tapi seberapa tulus kita memberi. 
Yuk mari berbagi bersama kebaikan di bulan suci Ramadan ini. 

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1903985334368768256?s=20;;Approve Sesper;
620;22 Maret 2025;Ucapan Hari Ulang Tahun kepada Direktur Utama PT ASABRI (Persero) Jeffry Haryadi P. Manullang.;Hari Penting;;;Realisasi;X;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur Utama PT ASABRI (Persero) Jeffry Haryadi P. Manullang.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1903360285127180566?s=20;;Approve Sesper;
621;21 Maret 2025;Pengajuan Klaim Melalui ASABRI Link;Berseri;;;Realisasi;X;Video;"Halo #SobatASABRI 

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ?? 

Tahukah kamu Klaim apa saja yang Sobat dapat ajukan melalui ASABRI link? 

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI http://asabri.co.id atau mengunjungi Kantor Cabang dan ASABRI Link sesuai wilayah masing-masing ya Sobat

#BertanyaSeputarASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1902936908151640086?s=20;;Approve Sesper;
622;20 Maret 2025;ASABRI kembali menebarkan kebaikan dengan memberikan santunan zakat kepada 60 anak.;Campaign ASABRI;;;Realisasi;X;Video;"Halo #SobatASABRI ???, 
Di bulan Ramadan ini, ASABRI kembali menebarkan kebaikan dengan memberikan santunan zakat kepada 60 anak.
Direksi ASABRI berpesan, sebagai insan yang unggul, berintegritas, dan berdedikasi, jadikan Al-Qur’an sebagai pedoman dalam setiap langkah kita.

Momen istimewa ini bertepatan dengan peringatan Nuzulul Qur'an yang mengingatkan kita akan pentingnya syukur, sabar, dan sedekah dalam kehidupan.
Semoga keberkahan Ramadan ini semakin memperkuat rasa kepedulian dan semangat berbagi kita semua! ??

ASABRI, Sahabat Perjuangan Anda Sepanjang Masa.

#AksiASABRIdiBulanRamadan
#InsanASABRIBerbagidiBulanRamadan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1902540664967197050?s=20;;Approve Sesper;
623;19 Maret 2025;ASABRI Menjaga & Melindungi Pejuang Negeri;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) hadir dengan komitmen untuk memberikan perlindungan terbaik bagi para pejuang bangsa yaitu Prajurit TNI, Anggota Polri, ASN Kemhan dan Polri melalui Layanan Perawatan dan Pengobatan Jaminan Kecelakaan Kerja Bagi Peserta ASABRI Aktif.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya, silahkan #Sobat cek postingan berikut ya.

#JaminanKecelakaanKerja
#LayananPerawatandanPengobatan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1902184394124869919?s=20;;Approve Sesper;
624;18 Maret 2025;Pembayaran Tunjangan Hari Raya (THR) ;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Pembayaran Tunjangan Hari Raya (THR) merupakan bagian dari upaya ASABRI dalam menciptakan Ramadan yang tenang dan menyenangkan bagi para penerima manfaat, sehingga Peserta ASABRI dapat merayakan Idulfitri dengan penuh kebahagiaan.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya, silahkan #SobatASABRI cek postingan berikut ya.

#THRuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1901933981647683971?s=20;;Approve Sesper;
625;17 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin
Dengan Semangat Pengabdian, dan Penuh Dedikasi,
Insan ASABRI, Hadir Untuk Indonesia! 

ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1901464642427539457?s=20;;Approve Sesper;
626;14 Maret 2025;Pengumuman Tentang Pembayaran Tunjangan Hari Raya 2025;Campaign ASABRI;;;Realisasi;X;Infografis;"abar Gembira untuk #SobatASABRI Semua

Pembayaran Tunjangan Hari Raya (THR) akan dilaksanakan mulai tanggal 17 Maret 2025. Semoga memberikan kebahagiaan bagi Peserta ASABRI dan Keluarga yang menerima.

Untuk megetahui ketentuan mengenai Pembayaran THR 2025, Silakan Cek ya! 

Hati-hati dan tetap waspada terkait segala bentuk penipuan yang mengatasnamakan PT ASABRI (Persero). Jika menerima informasi yang meragukan dan mencurigakan, jangan ragu untuk hubungi contact center PT ASABRI (Persero).  

ASABRI Sahabat Perjuangan Anda Sepanjang Masa

#THRuntukSobatASABRI2025 #SahabatPerjuanganAndaSepanjangMasa #ASABRIuntukIndonesia #BUMNuntukIndonesia";https://x.com/asabri_official/status/1900401301210751351?s=20;;Approve Sesper;
627;11 Maret 2025;Program TJSL ASABRI memberikan kontribusi nyata pada Sustainable Development Goals (SDGs).;TJSL;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Pada tahun 2024, pelaksanaan Program TJSL ASABRI tidak hanya menjawab kebutuhan tetapi juga menjadi bagian investasi untuk masa depan yang lebih cerah dan memberikan kontribusi nyata pada Sustainable Development Goals (SDGs).

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#ProgramTJSLASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1899356849335640075?s=20;;Approve Sesper;
628;10 Maret 2025;Autentikasi Dengan ASABRI STAR;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI
Jalani Puasa Dari Sahur Menuju Iftar
Ayo Sobat ASABRI Jangan Lupa Autentikasi Dengan ASABRI STAR
Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi di ASABRI STAR pada tanggal 1 hingga 10 setiap bulannya agar  dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut,silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI
#DenganASABRISTARGajiPensiunAman
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1898971345897361621?s=20;;Approve Sesper;
629;10 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;X;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Bangsa yang besar adalah bangsa yang warganya memiliki jiwa pengabdian dan keikhlasan untuk membangun bersama. 

Mari melangkah tanpa ragu dan terus melayani Bangsa untuk Indonesia Emas 2045!


PT ASABRI (Persero)
@asabri_official
·
Mar 10
ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://x.com/asabri_official/status/1898945407155331564?s=20;;Approve Sesper;
630;07 Maret 2025;ASABRI Dukung Program Hunian yang Nyaman Untuk Rakyat;Campaign Bersama BUMN;;;Realisasi;X;Infografis;"Halo #SobatASABRI

Sebagai salah satu wujud meningkatkan kesejahteraan peserta, ASABRI turut serta mendukung program pemerintah dalam program pembangunan perumahan bersubsidi yang diperuntukkan bagi Anggota Pol dan ASN di lingkungan Polri.

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#ManfaatProgramASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1897970341659484328?s=20;;Approve Sesper;
631;06 Maret 2025;Waspada Penipuan Mengatasnamakan ASABRI;Campaign ASABRI;;;Realisasi;X;Infografis;"Halo #SobatASABRI,
Seiring dengan meningkatnya modus penipuan digital, seringkali banyak oknum tidak bertanggung jawab yang mengatasnamakan ASABRI untuk mencuri data pribadi dan berakibat dapat merugikan peserta. 
Waspada Penipuan yang Mengatasnamakan PT ASABRI (Persero) ya Sobat

Informasi resmi tentang ASABRI hanya disampaikan melalui contact center, akun sosial media resmi, dan Kantor Cabang ASABRI.

#WaspadaPenipuan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://x.com/asabri_official/status/1897507407745704121?s=20;;Approve Sesper;
